date,group_name,ratio
2024-08-26,HomeAppliances,62.69706
2024-09-02,HomeAppliances,100.0
2024-09-09,HomeAppliances,87.63314
2024-09-16,HomeAppliances,85.63059
2024-09-23,HomeAppliances,59.99147
2024-09-30,HomeAppliances,54.8253
2024-10-07,HomeAppliances,53.9838
2024-10-14,HomeAppliances,53.04644
2024-10-21,HomeAppliances,57.64806
2024-10-28,HomeAppliances,64.13506
2024-11-04,HomeAppliances,67.12824
2024-11-11,HomeAppliances,61.70643
2024-11-18,HomeAppliances,59.68257
2024-11-25,HomeAppliances,62.19642
2024-12-02,HomeAppliances,57.33915
2024-12-09,HomeAppliances,54.69748
2024-12-16,HomeAppliances,58.4576
2024-12-23,HomeAppliances,55.14486
2024-12-30,HomeAppliances,61.40818
2025-01-06,HomeAppliances,71.78312
2025-01-13,HomeAppliances,70.28121
2025-01-20,HomeAppliances,65.27481
2025-01-27,HomeAppliances,84.12867
2025-02-03,HomeAppliances,65.4559
2025-02-10,HomeAppliances,64.47592
2025-02-17,HomeAppliances,85.87558
2025-02-24,HomeAppliances,76.4593
2025-03-03,HomeAppliances,65.29612
2025-03-10,HomeAppliances,58.54282
2025-03-17,HomeAppliances,58.84107
2025-03-24,HomeAppliances,52.72688
2025-03-31,HomeAppliances,48.65786
2022-03-28,Cost-Effective,0.76693
2022-04-04,Cost-Effective,0.75628
2022-04-11,Cost-Effective,0.64976
2022-04-18,Cost-Effective,0.58585
2022-04-25,Cost-Effective,0.69237
2022-05-02,Cost-Effective,0.62846
2022-05-09,Cost-Effective,0.42607
2022-05-16,Cost-Effective,0.46868
2022-05-23,Cost-Effective,0.58585
2022-05-30,Cost-Effective,0.62846
2022-06-06,Cost-Effective,0.69237
2022-06-13,Cost-Effective,0.52194
2022-06-20,Cost-Effective,0.67106
2022-06-27,Cost-Effective,0.69237
2022-07-04,Cost-Effective,0.73498
2022-07-11,Cost-Effective,1.20366
2022-07-18,Cost-Effective,1.34213
2022-07-25,Cost-Effective,1.438
2022-08-01,Cost-Effective,1.29953
2022-08-08,Cost-Effective,1.67234
2022-08-15,Cost-Effective,2.24755
